date,close_price,open_price,high_price,low_price,is_complete,volume
2023-02-15 20:00:00+00:00,227.67,226.50,227.75,225.54,True,1184305
2023-02-15 21:00:00+00:00,227.33,227.64,228.00,227.21,True,1595602
2023-02-15 22:00:00+00:00,227.50,227.30,227.52,227.21,True,1399
2023-02-16 07:00:00+00:00,228.11,227.97,228.44,227.97,True,294
2023-02-16 08:00:00+00:00,225.97,228.30,228.30,225.14,True,1430
2023-02-16 09:00:00+00:00,226.18,225.97,227.00,225.94,True,486
2023-02-16 10:00:00+00:00,224.04,226.00,226.00,224.04,True,204
2023-02-16 11:00:00+00:00,224.88,224.20,225.00,224.20,True,461
2023-02-16 12:00:00+00:00,225.28,224.90,226.00,224.88,True,7173
2023-02-16 13:00:00+00:00,221.90,225.17,225.24,221.50,True,112094
2023-02-16 14:00:00+00:00,222.28,221.90,223.67,220.22,True,1713698
2023-02-16 15:00:00+00:00,222.81,222.21,224.23,219.82,True,1168471
2023-02-16 16:00:00+00:00,223.15,222.89,223.91,221.67,True,594296
2023-02-16 17:00:00+00:00,224.02,223.12,225.14,222.12,True,565856
2023-02-16 18:00:00+00:00,225.13,224.05,225.39,223.45,True,463346
2023-02-16 19:00:00+00:00,224.24,225.15,225.50,223.81,True,471705
2023-02-16 20:00:00+00:00,219.96,224.24,224.32,219.27,True,1533081
2023-02-16 21:00:00+00:00,218.66,220.02,220.07,218.50,True,2397984
2023-02-16 22:00:00+00:00,218.45,218.70,219.06,218.29,True,2592
2023-02-17 07:00:00+00:00,215.94,216.89,218.10,215.25,True,2119
2023-02-17 08:00:00+00:00,216.00,216.10,216.77,215.60,True,862
2023-02-17 09:00:00+00:00,217.18,216.01,217.76,215.34,True,317
2023-02-17 10:00:00+00:00,216.25,216.80,216.81,216.19,True,51
2023-02-17 11:00:00+00:00,216.32,216.25,216.32,215.65,True,117
2023-02-17 12:00:00+00:00,216.73,216.39,216.87,215.57,True,8014
2023-02-17 13:00:00+00:00,217.25,216.77,217.50,216.43,True,15990
